Indicador;Comunidad autónoma;Grupos de gasto;periodo;Total
TOTAL (Millones de euros);Andalucía;Libro y publicaciones periódicas;2023;222,4
TOTAL (Millones de euros);Andalucía;Libro y publicaciones periódicas;2022;184,9
TOTAL (Millones de euros);Andalucía;Libro y publicaciones periódicas;2021;239,2
TOTAL (Millones de euros);Andalucía;Libro y publicaciones periódicas;2020;186,3
TOTAL (Millones de euros);Andalucía;Libro y publicaciones periódicas;2019;209,6
TOTAL (Millones de euros);Andalucía;Libro y publicaciones periódicas;2018;264,4
TOTAL (Millones de euros);Andalucía;Libro y publicaciones periódicas;2017;262,1
TOTAL (Millones de euros);Andalucía;Libro y publicaciones periódicas;2016;325,2
TOTAL (Millones de euros);Andalucía;Servicios culturales;2023;319,7
TOTAL (Millones de euros);Andalucía;Servicios culturales;2022;395,8
TOTAL (Millones de euros);Andalucía;Servicios culturales;2021;177,3
TOTAL (Millones de euros);Andalucía;Servicios culturales;2020;165,3
TOTAL (Millones de euros);Andalucía;Servicios culturales;2019;423,4
TOTAL (Millones de euros);Andalucía;Servicios culturales;2018;426,5
TOTAL (Millones de euros);Andalucía;Servicios culturales;2017;393,5
TOTAL (Millones de euros);Andalucía;Servicios culturales;2016;354,4
TOTAL (Millones de euros);Andalucía;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;498,5
TOTAL (Millones de euros);Andalucía;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;547,6
TOTAL (Millones de euros);Andalucía;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;552,4
TOTAL (Millones de euros);Andalucía;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;537,3
TOTAL (Millones de euros);Andalucía;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;552,3
TOTAL (Millones de euros);Andalucía;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;468,1
TOTAL (Millones de euros);Andalucía;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;548,9
TOTAL (Millones de euros);Andalucía;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;542,3
TOTAL (Millones de euros);Andalucía;Telefonía móvil y servicios relacionados con Internet;2023;633,2
TOTAL (Millones de euros);Andalucía;Telefonía móvil y servicios relacionados con Internet;2022;696,4
TOTAL (Millones de euros);Andalucía;Telefonía móvil y servicios relacionados con Internet;2021;695,5
TOTAL (Millones de euros);Andalucía;Telefonía móvil y servicios relacionados con Internet;2020;723,5
TOTAL (Millones de euros);Andalucía;Telefonía móvil y servicios relacionados con Internet;2019;794,7
TOTAL (Millones de euros);Andalucía;Telefonía móvil y servicios relacionados con Internet;2018;914,6
TOTAL (Millones de euros);Andalucía;Telefonía móvil y servicios relacionados con Internet;2017;967,0
TOTAL (Millones de euros);Andalucía;Telefonía móvil y servicios relacionados con Internet;2016;1.066,3
TOTAL (Millones de euros);Aragón;Libro y publicaciones periódicas;2023;78,7
TOTAL (Millones de euros);Aragón;Libro y publicaciones periódicas;2022;85,5
TOTAL (Millones de euros);Aragón;Libro y publicaciones periódicas;2021;62,1
TOTAL (Millones de euros);Aragón;Libro y publicaciones periódicas;2020;86,5
TOTAL (Millones de euros);Aragón;Libro y publicaciones periódicas;2019;77,8
TOTAL (Millones de euros);Aragón;Libro y publicaciones periódicas;2018;80,7
TOTAL (Millones de euros);Aragón;Libro y publicaciones periódicas;2017;87,0
TOTAL (Millones de euros);Aragón;Libro y publicaciones periódicas;2016;92,1
TOTAL (Millones de euros);Aragón;Servicios culturales;2023;91,7
TOTAL (Millones de euros);Aragón;Servicios culturales;2022;48,2
TOTAL (Millones de euros);Aragón;Servicios culturales;2021;44,8
TOTAL (Millones de euros);Aragón;Servicios culturales;2020;34,7
TOTAL (Millones de euros);Aragón;Servicios culturales;2019;88,5
TOTAL (Millones de euros);Aragón;Servicios culturales;2018;72,7
TOTAL (Millones de euros);Aragón;Servicios culturales;2017;80,7
TOTAL (Millones de euros);Aragón;Servicios culturales;2016;100,4
TOTAL (Millones de euros);Aragón;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;90,8
TOTAL (Millones de euros);Aragón;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;104,3
TOTAL (Millones de euros);Aragón;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;95,6
TOTAL (Millones de euros);Aragón;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;114,8
TOTAL (Millones de euros);Aragón;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;103,1
TOTAL (Millones de euros);Aragón;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;76,0
TOTAL (Millones de euros);Aragón;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;75,5
TOTAL (Millones de euros);Aragón;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;95,1
TOTAL (Millones de euros);Aragón;Telefonía móvil y servicios relacionados con Internet;2023;102,2
TOTAL (Millones de euros);Aragón;Telefonía móvil y servicios relacionados con Internet;2022;100,1
TOTAL (Millones de euros);Aragón;Telefonía móvil y servicios relacionados con Internet;2021;101,8
TOTAL (Millones de euros);Aragón;Telefonía móvil y servicios relacionados con Internet;2020;106,2
TOTAL (Millones de euros);Aragón;Telefonía móvil y servicios relacionados con Internet;2019;112,1
TOTAL (Millones de euros);Aragón;Telefonía móvil y servicios relacionados con Internet;2018;103,6
TOTAL (Millones de euros);Aragón;Telefonía móvil y servicios relacionados con Internet;2017;128,7
TOTAL (Millones de euros);Aragón;Telefonía móvil y servicios relacionados con Internet;2016;148,7
TOTAL (Millones de euros);Asturias (Principado de);Libro y publicaciones periódicas;2023;56,8
TOTAL (Millones de euros);Asturias (Principado de);Libro y publicaciones periódicas;2022;69,1
TOTAL (Millones de euros);Asturias (Principado de);Libro y publicaciones periódicas;2021;54,1
TOTAL (Millones de euros);Asturias (Principado de);Libro y publicaciones periódicas;2020;38,6
TOTAL (Millones de euros);Asturias (Principado de);Libro y publicaciones periódicas;2019;53,1
TOTAL (Millones de euros);Asturias (Principado de);Libro y publicaciones periódicas;2018;61,1
TOTAL (Millones de euros);Asturias (Principado de);Libro y publicaciones periódicas;2017;77,0
TOTAL (Millones de euros);Asturias (Principado de);Libro y publicaciones periódicas;2016;82,9
TOTAL (Millones de euros);Asturias (Principado de);Servicios culturales;2023;40,9
TOTAL (Millones de euros);Asturias (Principado de);Servicios culturales;2022;39,4
TOTAL (Millones de euros);Asturias (Principado de);Servicios culturales;2021;20,1
TOTAL (Millones de euros);Asturias (Principado de);Servicios culturales;2020;12,8
TOTAL (Millones de euros);Asturias (Principado de);Servicios culturales;2019;47,7
TOTAL (Millones de euros);Asturias (Principado de);Servicios culturales;2018;26,9
TOTAL (Millones de euros);Asturias (Principado de);Servicios culturales;2017;39,5
TOTAL (Millones de euros);Asturias (Principado de);Servicios culturales;2016;38,9
TOTAL (Millones de euros);Asturias (Principado de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;50,8
TOTAL (Millones de euros);Asturias (Principado de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;57,8
TOTAL (Millones de euros);Asturias (Principado de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;66,9
TOTAL (Millones de euros);Asturias (Principado de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;72,3
TOTAL (Millones de euros);Asturias (Principado de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;60,4
TOTAL (Millones de euros);Asturias (Principado de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;64,9
TOTAL (Millones de euros);Asturias (Principado de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;67,0
TOTAL (Millones de euros);Asturias (Principado de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;69,0
TOTAL (Millones de euros);Asturias (Principado de);Telefonía móvil y servicios relacionados con Internet;2023;89,3
TOTAL (Millones de euros);Asturias (Principado de);Telefonía móvil y servicios relacionados con Internet;2022;92,8
TOTAL (Millones de euros);Asturias (Principado de);Telefonía móvil y servicios relacionados con Internet;2021;87,6
TOTAL (Millones de euros);Asturias (Principado de);Telefonía móvil y servicios relacionados con Internet;2020;95,6
TOTAL (Millones de euros);Asturias (Principado de);Telefonía móvil y servicios relacionados con Internet;2019;109,3
TOTAL (Millones de euros);Asturias (Principado de);Telefonía móvil y servicios relacionados con Internet;2018;123,8
TOTAL (Millones de euros);Asturias (Principado de);Telefonía móvil y servicios relacionados con Internet;2017;132,1
TOTAL (Millones de euros);Asturias (Principado de);Telefonía móvil y servicios relacionados con Internet;2016;151,6
TOTAL (Millones de euros);Balears (Illes);Libro y publicaciones periódicas;2023;31,2
TOTAL (Millones de euros);Balears (Illes);Libro y publicaciones periódicas;2022;89,1
TOTAL (Millones de euros);Balears (Illes);Libro y publicaciones periódicas;2021;60,0
TOTAL (Millones de euros);Balears (Illes);Libro y publicaciones periódicas;2020;47,2
TOTAL (Millones de euros);Balears (Illes);Libro y publicaciones periódicas;2019;69,9
TOTAL (Millones de euros);Balears (Illes);Libro y publicaciones periódicas;2018;72,0
TOTAL (Millones de euros);Balears (Illes);Libro y publicaciones periódicas;2017;65,4
TOTAL (Millones de euros);Balears (Illes);Libro y publicaciones periódicas;2016;81,5
TOTAL (Millones de euros);Balears (Illes);Servicios culturales;2023;82,8
TOTAL (Millones de euros);Balears (Illes);Servicios culturales;2022;74,4
TOTAL (Millones de euros);Balears (Illes);Servicios culturales;2021;28,2
