Comunidad autónoma;Indicadores;Nacionalidad de la película;periodo;Total
Andalucía;Valor absoluto (millones);Total;2023;12,2
Andalucía;Valor absoluto (millones);Total;2022;9,6
Andalucía;Valor absoluto (millones);Total;2021;6,3
Andalucía;Valor absoluto (millones);Total;2020;3,8
Andalucía;Valor absoluto (millones);Total;2019;16,4
Andalucía;Valor absoluto (millones);Total;2018;15,1
Andalucía;Valor absoluto (millones);Total;2017;15,3
Andalucía;Valor absoluto (millones);Total;2016;15,6
Andalucía;Valor absoluto (millones);Total;2015;14,1
Andalucía;Valor absoluto (millones);Total;2014;13,1
Andalucía;Valor absoluto (millones);Total;2013;11,2
Andalucía;Porcentaje;Total;2023;100,0
Andalucía;Porcentaje;Total;2022;100,0
Andalucía;Porcentaje;Total;2021;100,0
Andalucía;Porcentaje;Total;2020;100,0
Andalucía;Porcentaje;Total;2019;100,0
Andalucía;Porcentaje;Total;2018;100,0
Andalucía;Porcentaje;Total;2017;100,0
Andalucía;Porcentaje;Total;2016;100,0
Andalucía;Porcentaje;Total;2015;100,0
Andalucía;Porcentaje;Total;2014;100,0
Andalucía;Porcentaje;Total;2013;100,0
Andalucía;Espectadores por sala;Total;2023;19.105
Andalucía;Espectadores por sala;Total;2022;14.811
Andalucía;Espectadores por sala;Total;2021;9.850
Andalucía;Espectadores por sala;Total;2020;5.875
Andalucía;Espectadores por sala;Total;2019;26.369
Andalucía;Espectadores por sala;Total;2018;25.055
Andalucía;Espectadores por sala;Total;2017;25.805
Andalucía;Espectadores por sala;Total;2016;27.735
Andalucía;Espectadores por sala;Total;2015;25.699
Andalucía;Espectadores por sala;Total;2014;21.561
Andalucía;Espectadores por sala;Total;2013;17.359
Andalucía;Asistencia media por habitante;Total;2023;1,4
Andalucía;Asistencia media por habitante;Total;2022;1,1
Andalucía;Asistencia media por habitante;Total;2021;0,7
Andalucía;Asistencia media por habitante;Total;2020;0,4
Andalucía;Asistencia media por habitante;Total;2019;1,9
Andalucía;Asistencia media por habitante;Total;2018;1,8
Andalucía;Asistencia media por habitante;Total;2017;1,8
Andalucía;Asistencia media por habitante;Total;2016;1,9
Andalucía;Asistencia media por habitante;Total;2015;1,7
Andalucía;Asistencia media por habitante;Total;2014;1,6
Andalucía;Asistencia media por habitante;Total;2013;1,3
Aragón;Valor absoluto (millones);Total;2023;2,0
Aragón;Valor absoluto (millones);Total;2022;1,5
Aragón;Valor absoluto (millones);Total;2021;1,1
Aragón;Valor absoluto (millones);Total;2020;0,8
Aragón;Valor absoluto (millones);Total;2019;2,8
Aragón;Valor absoluto (millones);Total;2018;2,8
Aragón;Valor absoluto (millones);Total;2017;2,8
Aragón;Valor absoluto (millones);Total;2016;2,8
Aragón;Valor absoluto (millones);Total;2015;2,7
Aragón;Valor absoluto (millones);Total;2014;2,4
Aragón;Valor absoluto (millones);Total;2013;2,1
Aragón;Porcentaje;Total;2023;100,0
Aragón;Porcentaje;Total;2022;100,0
Aragón;Porcentaje;Total;2021;100,0
Aragón;Porcentaje;Total;2020;100,0
Aragón;Porcentaje;Total;2019;100,0
Aragón;Porcentaje;Total;2018;100,0
Aragón;Porcentaje;Total;2017;100,0
Aragón;Porcentaje;Total;2016;100,0
Aragón;Porcentaje;Total;2015;100,0
Aragón;Porcentaje;Total;2014;100,0
Aragón;Porcentaje;Total;2013;100,0
Aragón;Espectadores por sala;Total;2023;25.138
Aragón;Espectadores por sala;Total;2022;19.432
Aragón;Espectadores por sala;Total;2021;12.859
Aragón;Espectadores por sala;Total;2020;9.537
Aragón;Espectadores por sala;Total;2019;35.026
Aragón;Espectadores por sala;Total;2018;33.148
Aragón;Espectadores por sala;Total;2017;32.778
Aragón;Espectadores por sala;Total;2016;33.925
Aragón;Espectadores por sala;Total;2015;31.811
Aragón;Espectadores por sala;Total;2014;25.735
Aragón;Espectadores por sala;Total;2013;20.290
Aragón;Asistencia media por habitante;Total;2023;1,5
Aragón;Asistencia media por habitante;Total;2022;1,1
Aragón;Asistencia media por habitante;Total;2021;0,8
Aragón;Asistencia media por habitante;Total;2020;0,6
Aragón;Asistencia media por habitante;Total;2019;2,1
Aragón;Asistencia media por habitante;Total;2018;2,1
Aragón;Asistencia media por habitante;Total;2017;2,1
Aragón;Asistencia media por habitante;Total;2016;2,1
Aragón;Asistencia media por habitante;Total;2015;2,0
Aragón;Asistencia media por habitante;Total;2014;1,8
Aragón;Asistencia media por habitante;Total;2013;1,6
Asturias (Principado de);Valor absoluto (millones);Total;2023;1,2
Asturias (Principado de);Valor absoluto (millones);Total;2022;0,9
Asturias (Principado de);Valor absoluto (millones);Total;2021;0,6
Asturias (Principado de);Valor absoluto (millones);Total;2020;0,4
Asturias (Principado de);Valor absoluto (millones);Total;2019;1,6
Asturias (Principado de);Valor absoluto (millones);Total;2018;1,5
Asturias (Principado de);Valor absoluto (millones);Total;2017;1,5
Asturias (Principado de);Valor absoluto (millones);Total;2016;1,6
