Sexo;Comunidades y Ciudades Autónomas;Nivel de formación alcanzado;Periodo;Total
Hombres;01 Andalucía;Analfabetos;2023T4;1,5
Hombres;01 Andalucía;Analfabetos;2023T3;1,2
Hombres;01 Andalucía;Analfabetos;2023T2;1,4
Hombres;01 Andalucía;Analfabetos;2023T1;1,2
Hombres;01 Andalucía;Analfabetos;2022T4;1,5
Hombres;01 Andalucía;Analfabetos;2022T3;1,6
Hombres;01 Andalucía;Analfabetos;2022T2;1,6
Hombres;01 Andalucía;Analfabetos;2022T1;1,8
Hombres;01 Andalucía;Analfabetos;2021T4;2,0
Hombres;01 Andalucía;Analfabetos;2021T3;2,0
Hombres;01 Andalucía;Analfabetos;2021T2;1,9
Hombres;01 Andalucía;Analfabetos;2021T1;1,8
Hombres;01 Andalucía;Estudios primarios incompletos;2023T4;5,5
Hombres;01 Andalucía;Estudios primarios incompletos;2023T3;5,6
Hombres;01 Andalucía;Estudios primarios incompletos;2023T2;5,7
Hombres;01 Andalucía;Estudios primarios incompletos;2023T1;5,5
Hombres;01 Andalucía;Estudios primarios incompletos;2022T4;5,4
Hombres;01 Andalucía;Estudios primarios incompletos;2022T3;5,8
Hombres;01 Andalucía;Estudios primarios incompletos;2022T2;5,7
Hombres;01 Andalucía;Estudios primarios incompletos;2022T1;6,2
Hombres;01 Andalucía;Estudios primarios incompletos;2021T4;5,7
Hombres;01 Andalucía;Estudios primarios incompletos;2021T3;5,7
Hombres;01 Andalucía;Estudios primarios incompletos;2021T2;6,0
Hombres;01 Andalucía;Estudios primarios incompletos;2021T1;6,6
Hombres;01 Andalucía;Educación primaria;2023T4;10,0
Hombres;01 Andalucía;Educación primaria;2023T3;10,4
Hombres;01 Andalucía;Educación primaria;2023T2;11,2
Hombres;01 Andalucía;Educación primaria;2023T1;11,0
Hombres;01 Andalucía;Educación primaria;2022T4;11,2
Hombres;01 Andalucía;Educación primaria;2022T3;10,6
Hombres;01 Andalucía;Educación primaria;2022T2;10,8
Hombres;01 Andalucía;Educación primaria;2022T1;10,3
Hombres;01 Andalucía;Educación primaria;2021T4;10,3
Hombres;01 Andalucía;Educación primaria;2021T3;10,9
Hombres;01 Andalucía;Educación primaria;2021T2;11,0
Hombres;01 Andalucía;Educación primaria;2021T1;11,3
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2023T4;33,1
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2023T3;32,8
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2023T2;33,3
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2023T1;33,5
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2022T4;33,8
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2022T3;33,5
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2022T2;33,6
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2022T1;33,8
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2021T4;33,8
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2021T3;33,4
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2021T2;34,2
Hombres;01 Andalucía;Primera etapa de Educación Secundaria y similar;2021T1;34,2
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2023T4;13,3
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2023T3;13,7
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2023T2;13,2
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2023T1;13,8
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2022T4;13,7
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2022T3;13,4
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2022T2;13,3
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2022T1;13,1
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2021T4;13,4
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2021T3;12,7
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2021T2;12,3
Hombres;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2021T1;12,3
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T4;8,5
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T3;8,8
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T2;8,4
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T1;8,2
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T4;8,0
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T3;8,4
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T2;8,6
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T1;8,7
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T4;8,7
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T3;8,9
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T2;8,5
Hombres;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T1;8,1
Hombres;01 Andalucía;Educación superior;2023T4;28,1
Hombres;01 Andalucía;Educación superior;2023T3;27,5
Hombres;01 Andalucía;Educación superior;2023T2;26,8
Hombres;01 Andalucía;Educación superior;2023T1;26,8
Hombres;01 Andalucía;Educación superior;2022T4;26,5
Hombres;01 Andalucía;Educación superior;2022T3;26,7
Hombres;01 Andalucía;Educación superior;2022T2;26,3
Hombres;01 Andalucía;Educación superior;2022T1;26,1
Hombres;01 Andalucía;Educación superior;2021T4;26,2
Hombres;01 Andalucía;Educación superior;2021T3;26,3
Hombres;01 Andalucía;Educación superior;2021T2;26,1
Hombres;01 Andalucía;Educación superior;2021T1;25,8
Hombres;02 Aragón;Analfabetos;2023T4;0,4
Hombres;02 Aragón;Analfabetos;2023T3;0,4
Hombres;02 Aragón;Analfabetos;2023T2;0,5
Hombres;02 Aragón;Analfabetos;2023T1;0,7
Hombres;02 Aragón;Analfabetos;2022T4;0,7
Hombres;02 Aragón;Analfabetos;2022T3;1,0
