Indicador;Ingresos mensuales en el hogar;periodo;Total
TOTAL (Millones de euros);Total;2023;11.306,9
TOTAL (Millones de euros);Total;2022;11.356,2
TOTAL (Millones de euros);Total;2021;10.773,5
TOTAL (Millones de euros);Total;2020;10.484,9
TOTAL (Millones de euros);Total;2019;12.451,5
TOTAL (Millones de euros);Total;2018;12.714,3
TOTAL (Millones de euros);Total;2017;13.298,4
TOTAL (Millones de euros);Total;2016;14.099,4
TOTAL (Millones de euros);Menos de 1.000 euros;2023;493,6
TOTAL (Millones de euros);Menos de 1.000 euros;2022;619,3
TOTAL (Millones de euros);Menos de 1.000 euros;2021;738,7
TOTAL (Millones de euros);Menos de 1.000 euros;2020;810,2
TOTAL (Millones de euros);Menos de 1.000 euros;2019;883,0
TOTAL (Millones de euros);Menos de 1.000 euros;2018;1.095,7
TOTAL (Millones de euros);Menos de 1.000 euros;2017;1.218,3
TOTAL (Millones de euros);Menos de 1.000 euros;2016;1.455,3
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2023;1.094,4
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2022;1.094,3
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2021;1.040,4
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2020;1.270,0
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2019;1.652,1
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2018;1.568,4
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2017;1.870,3
TOTAL (Millones de euros);Entre 1.000 y 1.499 euros;2016;2.031,7
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2023;1.286,0
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2022;1.387,6
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2021;1.412,2
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2020;1.520,7
TOTAL (Millones de euros);Entre 1.500 y 1.999 euros;2019;1.797,9
