Indicador;Comunidad autónoma;Grupo de gasto;periodo;Total
TOTAL (Millones de euros);Andalucía;Libro;2023;181,5
TOTAL (Millones de euros);Andalucía;Libro;2022;153,7
TOTAL (Millones de euros);Andalucía;Libro;2021;196,5
TOTAL (Millones de euros);Andalucía;Libro;2020;145,4
TOTAL (Millones de euros);Andalucía;Libro;2019;153,9
TOTAL (Millones de euros);Andalucía;Libro;2018;196,4
TOTAL (Millones de euros);Andalucía;Libro;2017;196,8
TOTAL (Millones de euros);Andalucía;Libro;2016;244,4
TOTAL (Millones de euros);Andalucía;Publicaciones periódicas;2023;40,9
TOTAL (Millones de euros);Andalucía;Publicaciones periódicas;2022;31,2
TOTAL (Millones de euros);Andalucía;Publicaciones periódicas;2021;42,7
TOTAL (Millones de euros);Andalucía;Publicaciones periódicas;2020;41,0
TOTAL (Millones de euros);Andalucía;Publicaciones periódicas;2019;55,7
TOTAL (Millones de euros);Andalucía;Publicaciones periódicas;2018;68,0
TOTAL (Millones de euros);Andalucía;Publicaciones periódicas;2017;65,3
TOTAL (Millones de euros);Andalucía;Publicaciones periódicas;2016;80,8
TOTAL (Millones de euros);Aragón;Libro;2023;60,3
TOTAL (Millones de euros);Aragón;Libro;2022;68,4
TOTAL (Millones de euros);Aragón;Libro;2021;45,7
TOTAL (Millones de euros);Aragón;Libro;2020;64,2
TOTAL (Millones de euros);Aragón;Libro;2019;54,0
TOTAL (Millones de euros);Aragón;Libro;2018;56,3
TOTAL (Millones de euros);Aragón;Libro;2017;60,8
TOTAL (Millones de euros);Aragón;Libro;2016;61,7
TOTAL (Millones de euros);Aragón;Publicaciones periódicas;2023;18,4
TOTAL (Millones de euros);Aragón;Publicaciones periódicas;2022;17,1
TOTAL (Millones de euros);Aragón;Publicaciones periódicas;2021;16,3
TOTAL (Millones de euros);Aragón;Publicaciones periódicas;2020;22,3
TOTAL (Millones de euros);Aragón;Publicaciones periódicas;2019;23,9
TOTAL (Millones de euros);Aragón;Publicaciones periódicas;2018;24,4
TOTAL (Millones de euros);Aragón;Publicaciones periódicas;2017;26,2
TOTAL (Millones de euros);Aragón;Publicaciones periódicas;2016;30,5
TOTAL (Millones de euros);Asturias (Principado de);Libro;2023;41,7
TOTAL (Millones de euros);Asturias (Principado de);Libro;2022;54,9
TOTAL (Millones de euros);Asturias (Principado de);Libro;2021;31,8
TOTAL (Millones de euros);Asturias (Principado de);Libro;2020;24,1
TOTAL (Millones de euros);Asturias (Principado de);Libro;2019;32,0
TOTAL (Millones de euros);Asturias (Principado de);Libro;2018;34,9
TOTAL (Millones de euros);Asturias (Principado de);Libro;2017;46,8
TOTAL (Millones de euros);Asturias (Principado de);Libro;2016;52,3
TOTAL (Millones de euros);Asturias (Principado de);Publicaciones periódicas;2023;15,1
TOTAL (Millones de euros);Asturias (Principado de);Publicaciones periódicas;2022;14,2
TOTAL (Millones de euros);Asturias (Principado de);Publicaciones periódicas;2021;22,3
TOTAL (Millones de euros);Asturias (Principado de);Publicaciones periódicas;2020;14,5
TOTAL (Millones de euros);Asturias (Principado de);Publicaciones periódicas;2019;21,2
TOTAL (Millones de euros);Asturias (Principado de);Publicaciones periódicas;2018;26,3
TOTAL (Millones de euros);Asturias (Principado de);Publicaciones periódicas;2017;30,2
TOTAL (Millones de euros);Asturias (Principado de);Publicaciones periódicas;2016;30,6
TOTAL (Millones de euros);Balears (Illes);Libro;2023;20,6
TOTAL (Millones de euros);Balears (Illes);Libro;2022;77,1
TOTAL (Millones de euros);Balears (Illes);Libro;2021;52,3
TOTAL (Millones de euros);Balears (Illes);Libro;2020;41,2
TOTAL (Millones de euros);Balears (Illes);Libro;2019;59,5
TOTAL (Millones de euros);Balears (Illes);Libro;2018;49,8
TOTAL (Millones de euros);Balears (Illes);Libro;2017;45,9
TOTAL (Millones de euros);Balears (Illes);Libro;2016;58,6
TOTAL (Millones de euros);Balears (Illes);Publicaciones periódicas;2023;10,6
TOTAL (Millones de euros);Balears (Illes);Publicaciones periódicas;2022;11,9
TOTAL (Millones de euros);Balears (Illes);Publicaciones periódicas;2021;7,7
TOTAL (Millones de euros);Balears (Illes);Publicaciones periódicas;2020;6,0
TOTAL (Millones de euros);Balears (Illes);Publicaciones periódicas;2019;10,4
TOTAL (Millones de euros);Balears (Illes);Publicaciones periódicas;2018;22,2
TOTAL (Millones de euros);Balears (Illes);Publicaciones periódicas;2017;19,5
TOTAL (Millones de euros);Balears (Illes);Publicaciones periódicas;2016;22,8
TOTAL (Millones de euros);Canarias;Libro;2023;63,1
TOTAL (Millones de euros);Canarias;Libro;2022;43,9
TOTAL (Millones de euros);Canarias;Libro;2021;50,6
TOTAL (Millones de euros);Canarias;Libro;2020;42,4
TOTAL (Millones de euros);Canarias;Libro;2019;59,4
TOTAL (Millones de euros);Canarias;Libro;2018;70,3
TOTAL (Millones de euros);Canarias;Libro;2017;60,9
TOTAL (Millones de euros);Canarias;Libro;2016;93,4
TOTAL (Millones de euros);Canarias;Publicaciones periódicas;2023;6,9
TOTAL (Millones de euros);Canarias;Publicaciones periódicas;2022;8,6
TOTAL (Millones de euros);Canarias;Publicaciones periódicas;2021;11,0
TOTAL (Millones de euros);Canarias;Publicaciones periódicas;2020;6,8
TOTAL (Millones de euros);Canarias;Publicaciones periódicas;2019;9,7
TOTAL (Millones de euros);Canarias;Publicaciones periódicas;2018;14,8
TOTAL (Millones de euros);Canarias;Publicaciones periódicas;2017;16,9
TOTAL (Millones de euros);Canarias;Publicaciones periódicas;2016;24,1
TOTAL (Millones de euros);Cantabria;Libro;2023;16,7
TOTAL (Millones de euros);Cantabria;Libro;2022;11,3
TOTAL (Millones de euros);Cantabria;Libro;2021;14,2
TOTAL (Millones de euros);Cantabria;Libro;2020;11,8
TOTAL (Millones de euros);Cantabria;Libro;2019;20,6
TOTAL (Millones de euros);Cantabria;Libro;2018;18,0
TOTAL (Millones de euros);Cantabria;Libro;2017;22,1
TOTAL (Millones de euros);Cantabria;Libro;2016;23,1
TOTAL (Millones de euros);Cantabria;Publicaciones periódicas;2023;10,7
TOTAL (Millones de euros);Cantabria;Publicaciones periódicas;2022;10,9
TOTAL (Millones de euros);Cantabria;Publicaciones periódicas;2021;10,0
TOTAL (Millones de euros);Cantabria;Publicaciones periódicas;2020;10,4
TOTAL (Millones de euros);Cantabria;Publicaciones periódicas;2019;12,5
TOTAL (Millones de euros);Cantabria;Publicaciones periódicas;2018;14,9
TOTAL (Millones de euros);Cantabria;Publicaciones periódicas;2017;17,3
TOTAL (Millones de euros);Cantabria;Publicaciones periódicas;2016;18,7
TOTAL (Millones de euros);Castilla y León;Libro;2023;94,4
TOTAL (Millones de euros);Castilla y León;Libro;2022;120,4
TOTAL (Millones de euros);Castilla y León;Libro;2021;147,2
TOTAL (Millones de euros);Castilla y León;Libro;2020;118,5
TOTAL (Millones de euros);Castilla y León;Libro;2019;106,4
TOTAL (Millones de euros);Castilla y León;Libro;2018;117,6
TOTAL (Millones de euros);Castilla y León;Libro;2017;128,5
TOTAL (Millones de euros);Castilla y León;Libro;2016;145,3
TOTAL (Millones de euros);Castilla y León;Publicaciones periódicas;2023;30,3
TOTAL (Millones de euros);Castilla y León;Publicaciones periódicas;2022;27,6
TOTAL (Millones de euros);Castilla y León;Publicaciones periódicas;2021;51,6
TOTAL (Millones de euros);Castilla y León;Publicaciones periódicas;2020;43,6
TOTAL (Millones de euros);Castilla y León;Publicaciones periódicas;2019;36,9
TOTAL (Millones de euros);Castilla y León;Publicaciones periódicas;2018;39,0
TOTAL (Millones de euros);Castilla y León;Publicaciones periódicas;2017;48,2
TOTAL (Millones de euros);Castilla y León;Publicaciones periódicas;2016;47,7
TOTAL (Millones de euros);Castilla-La Mancha;Libro;2023;68,9
TOTAL (Millones de euros);Castilla-La Mancha;Libro;2022;61,3
TOTAL (Millones de euros);Castilla-La Mancha;Libro;2021;51,3
TOTAL (Millones de euros);Castilla-La Mancha;Libro;2020;62,4
TOTAL (Millones de euros);Castilla-La Mancha;Libro;2019;71,9
TOTAL (Millones de euros);Castilla-La Mancha;Libro;2018;79,6
TOTAL (Millones de euros);Castilla-La Mancha;Libro;2017;65,4
TOTAL (Millones de euros);Castilla-La Mancha;Libro;2016;85,2
TOTAL (Millones de euros);Castilla-La Mancha;Publicaciones periódicas;2023;7,4
TOTAL (Millones de euros);Castilla-La Mancha;Publicaciones periódicas;2022;7,6
TOTAL (Millones de euros);Castilla-La Mancha;Publicaciones periódicas;2021;9,9
