Comunidades y Ciudades Autónomas;Renta anual neta media por persona y por unidad de consumo;Periodo;Total
01 Andalucía;Renta neta media por persona;2024;12.191
01 Andalucía;Renta neta media por persona;2023;11.719
01 Andalucía;Renta neta media por persona;2022;10.703
01 Andalucía;Renta neta media por persona;2021;9.915
02 Aragón;Renta neta media por persona;2024;15.747
02 Aragón;Renta neta media por persona;2023;14.810
02 Aragón;Renta neta media por persona;2022;14.015
02 Aragón;Renta neta media por persona;2021;13.345
03 Asturias, Principado de;Renta neta media por persona;2024;16.201
03 Asturias, Principado de;Renta neta media por persona;2023;15.432
03 Asturias, Principado de;Renta neta media por persona;2022;13.777
03 Asturias, Principado de;Renta neta media por persona;2021;12.861
04 Balears, Illes;Renta neta media por persona;2024;15.926
04 Balears, Illes;Renta neta media por persona;2023;14.139
04 Balears, Illes;Renta neta media por persona;2022;12.451
04 Balears, Illes;Renta neta media por persona;2021;11.235
05 Canarias;Renta neta media por persona;2024;13.372
05 Canarias;Renta neta media por persona;2023;12.177
05 Canarias;Renta neta media por persona;2022;10.716
05 Canarias;Renta neta media por persona;2021;10.161
06 Cantabria;Renta neta media por persona;2024;14.708
06 Cantabria;Renta neta media por persona;2023;14.162
06 Cantabria;Renta neta media por persona;2022;13.811
06 Cantabria;Renta neta media por persona;2021;12.848
07 Castilla y León;Renta neta media por persona;2024;14.940
07 Castilla y León;Renta neta media por persona;2023;14.124
07 Castilla y León;Renta neta media por persona;2022;13.323
07 Castilla y León;Renta neta media por persona;2021;12.656
08 Castilla - La Mancha;Renta neta media por persona;2024;12.357
08 Castilla - La Mancha;Renta neta media por persona;2023;11.913
08 Castilla - La Mancha;Renta neta media por persona;2022;11.037
08 Castilla - La Mancha;Renta neta media por persona;2021;10.257
09 Cataluña;Renta neta media por persona;2024;16.546
09 Cataluña;Renta neta media por persona;2023;15.830
09 Cataluña;Renta neta media por persona;2022;14.692
09 Cataluña;Renta neta media por persona;2021;14.159
10 Comunitat Valenciana;Renta neta media por persona;2024;13.374
10 Comunitat Valenciana;Renta neta media por persona;2023;12.805
10 Comunitat Valenciana;Renta neta media por persona;2022;11.876
10 Comunitat Valenciana;Renta neta media por persona;2021;11.237
11 Extremadura;Renta neta media por persona;2024;12.421
11 Extremadura;Renta neta media por persona;2023;11.363
11 Extremadura;Renta neta media por persona;2022;10.133
11 Extremadura;Renta neta media por persona;2021;9.500
12 Galicia;Renta neta media por persona;2024;14.558
12 Galicia;Renta neta media por persona;2023;13.147
12 Galicia;Renta neta media por persona;2022;12.352
12 Galicia;Renta neta media por persona;2021;11.453
13 Madrid, Comunidad de;Renta neta media por persona;2024;17.275
13 Madrid, Comunidad de;Renta neta media por persona;2023;16.817
13 Madrid, Comunidad de;Renta neta media por persona;2022;15.695
13 Madrid, Comunidad de;Renta neta media por persona;2021;14.836
14 Murcia, Región de;Renta neta media por persona;2024;11.967
14 Murcia, Región de;Renta neta media por persona;2023;11.314
14 Murcia, Región de;Renta neta media por persona;2022;10.632
14 Murcia, Región de;Renta neta media por persona;2021;9.931
15 Navarra, Comunidad Foral de;Renta neta media por persona;2024;17.253
15 Navarra, Comunidad Foral de;Renta neta media por persona;2023;16.599
15 Navarra, Comunidad Foral de;Renta neta media por persona;2022;15.970
15 Navarra, Comunidad Foral de;Renta neta media por persona;2021;15.269
16 País Vasco;Renta neta media por persona;2024;19.078
16 País Vasco;Renta neta media por persona;2023;18.189
16 País Vasco;Renta neta media por persona;2022;16.427
16 País Vasco;Renta neta media por persona;2021;15.544
17 Rioja, La;Renta neta media por persona;2024;14.529
17 Rioja, La;Renta neta media por persona;2023;14.184
17 Rioja, La;Renta neta media por persona;2022;13.538
17 Rioja, La;Renta neta media por persona;2021;12.913
18 Ceuta;Renta neta media por persona;2024;13.403
18 Ceuta;Renta neta media por persona;2023;13.421
18 Ceuta;Renta neta media por persona;2022;12.152
18 Ceuta;Renta neta media por persona;2021;10.397
19 Melilla;Renta neta media por persona;2024;12.745
19 Melilla;Renta neta media por persona;2023;13.854
19 Melilla;Renta neta media por persona;2022;13.089
19 Melilla;Renta neta media por persona;2021;12.012
